"Name","Season","ActiveFungus","Sightings","X","Y","Sex","AgeClass","Time.in.pop","InfectedDensity.Annual","Infect_Assoc_Sight","SeasonNumeric"
212,"6",0,94,52.2921348314607,739.640449438202,"Male","Adult",1197.48314606742,1.33773653977842e-05,0,6
224,"6",0,91,124.567567567568,763.081081081081,"Female","Juvenile",1147.86486486486,0.000465113781559789,0,6
225,"6",0,75,57.625,716.458333333333,"Female","Adult",1218.91666666667,0,0,6
229,"6",0,75,47.4444444444444,736.652777777778,"Female","Adult",1193.31944444444,0,0,6
232,"6",0,122,87.1862745098039,754.372549019608,"Female","Adult",1209.45098039216,6.85664804422808e-07,0,6
233,"6",0,69,142.147540983607,776.590163934426,"Male","Juvenile",1250.98360655738,0.000662135477237658,0,6
236,"6",0,125,149.947826086957,758.95652173913,"Male","Juvenile",1221.00869565217,0.000182430054823853,0.016,6
248,"6",0,54,93.2884615384615,763.192307692308,"Female","Juvenile",1195.61538461538,6.22733527068072e-07,0,6
249,"6",0,55,126.2,762.566666666667,"Male","Adult",1139,0.000538628804909203,0.0181818181818182,6
25,"6",0,25,33.25,735.75,"Male","Adult",1732.625,1.43824104581147e-09,0,6
261,"6",0,57,105.859649122807,720.824561403509,"Male","Adult",1172.68421052632,4.3716093869135e-07,0,6
